Company,ActiveBrand,Headquarters,Continent,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other ,Rank
Securitas Security Services,Y,Sweden,Europe,370 000,1934,Magnus Ahlqvist,SECU.B-SE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Personnel,Third Party Staffing,n/a,n/a,13,11 045.60,2019,https://www.securitasinc.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,189
Electrolux,Y,Sweden,Europe,54 419,1919,Jonas Samuelson,ELUX.B-SE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Kitchen Equipment,n/a,n/a,7,11 850.60,2019,https://www.electroluxappliances.com/,See Grindmaster-Cecilware,n/a,n/a,FactSet,https://dailycoffeenews.com/2017/03/03/electrolux-acquires-grindmaster-cecilware-for-108-million/,176
Assa Abloy,Y,Sweden,Europe,47 500,1994,Nico Delvaux,ASSA.B-SE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,14,9 763.80,2019,https://www.assaabloy.com/,See Ceco Door  Security Metal  Fleming,n/a,n/a,FactSet,https://www.assaabloy.com/Global/Investors/Annual-Report/2019/EN/Annual%20report%202019.pdf,205
Nordea,Y,Sweden,Europe,31 596,2000,Frank Vang Jensen,NDA-SE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,8,9 092.30,2019,https://www.nordea.lu/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,215
Hexagon (dba Hexagon Safety Infrastructure),Y,Sweden,Europe,17 000,2015,Ola Rollén,HEXA.B-SE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,Arrest  Court  & Probation Data Systems,n/a,n/a,10,389.20,2019,https://hexagon.com/,http://www.hexagonsafetyinfrastructure.com/public-safety-and-security/police-and-law-enforcement#records-management,n/a,n/a,FactSet,http://www.hexagonsafetyinfrastructure.com/news-releases/hexagon-safety-infrastructure-and-black-creek-partner-to-offer-jail-management-system,613
SEB Group,Y,Sweden,Europe,15 714,1973,Johan Torgeby,SK-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,10,7 978.60,2019,https://sebgroup.lu/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,223
EQT,Y,Sweden,Europe,700,1936,Christian Sinding,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,7,657.00,2019,https://www.eqtgroup.com/,See Synagro Technologies,n/a,n/a,https://www.eqtgroup.com/globalassets/shareholder-relations/ar-2019/eqt-ab-annual-report-2019.pdf,n/a,538
Micro Systemation Ab (dba MSAB),Y,Sweden,Europe,134,1984,Joel Bollo,MSAB.B-SE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,Arrest  Court  & Probation Data Systems,n/a,n/a,13,30.70,2019,https://www.msab.com/,http://www.ijis.org/?page=Member_List,n/a,n/a,FactSet,n/a,1152
Capgemini,Y,Switzerland,Europe,200 000,1967,Paul Hermelin,CAP-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,15 324.90,2019,https://www.capgemini.com/,https://www.capgemini.com/service/transform-police-t-police/public-security/,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a,146
ABB Group,Y,Switzerland,Europe,147 000,1988,Peter Voser,ABB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,7,27 978.00,2019,https://new.abb.com/,See Thomas & Betts,n/a,n/a,FactSet,n/a,96
