Company,ActiveBrand,Headquarters,Continent,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other,Rank
Tsymmetry,Y,DC,NorthAmerica,160,1999,PhilipLowit,n/a,Tier4-SmallPrivately-Owned,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,Y,n/a,n/a,27.00,2018,https://www.tsymmetry.com/,n/a,Sludge-ICEContract(https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo(www.privco.com),n/a,1199
WashingtonCountyTractor,Y,TX,NorthAmerica,160,1939,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,n/a,68.00,2018,https://www.wctractor.com/,TDCJSpending,n/a,n/a,PrivCo(www.privco.com),n/a,943
CentralLakeArmorExpress(dbaArmorExpress),Y,MI,NorthAmerica,157,2005,JamesR.Henderson,n/a,Tier2-InvestmentFirm-Owned,Equipment,SecurityEquipment,Y,n/a,13,32.00,2017,https://www.armorexpress.com/,n/a,Sludge-ICEContract(https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo(www.privco.com),https://www.pehub.com/2015/07/sbj-buys-armor-express/,1135
Numerex,Y,GA,NorthAmerica,157,1992,n/a,SWIR,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,CommunityCorrections,ElectronicMonitoring,n/a,n/a,7,70.60,2016,http://numerex.com/,http://numerex.com/solutions/safety-security/electronicmonitoring/solution-components/,n/a,n/a,https://www.sec.gov/Archives/edgar/data/870753/000157104917003093/t1700159_10k.htm#a_013,https://www.sierrawireless.com/company/newsroom/pressreleases/2017/12/sierra_wireless_inc_completes_acquisition_of_numerex_corp/,929
TrackGroup,Y,IL,NorthAmerica,154,1995,DerekCassell,TRCK,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,CommunityCorrections,ElectronicMonitoring,n/a,n/a,13,34.00,2019,http://www.trackgrp.com/,Seewebsite,n/a,n/a,FactSet,n/a,1125
555International,Y,IL,NorthAmerica,150,1987,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,n/a,39.00,2018,http://www.555.com/,SeeNewStarLighting,n/a,n/a,PrivCo(www.privco.com),https://newstarlighting.com/applications/correctional/,1092
AdvancedSystemsDesign,Y,FL,NorthAmerica,150,1979,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,SecurityTechnology,n/a,n/a,n/a,24.00,2018,https://asd-web.com/,https://facts.fldfs.com/Search/ContractSearch.aspx,n/a,n/a,PrivCo(www.privco.com),n/a,1225
ChestnutRidgeFoam,Y,PA,NorthAmerica,150,1986,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,Y,n/a,29.00,2018,http://www.chestnutridgefoam.com/,http://correctionsmarketplace.com/,n/a,https://www.nationalcia.org/corporate-members,PrivCo(www.privco.com),n/a,1168
DascoPro,Y,IL,NorthAmerica,150,n/a,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,n/a,140.00,2018,www.dascopro.com,SeeLeatherheadSpecialEntryTools,n/a,n/a,PrivCo(www.privco.com),n/a,786
FisherManufacturing,Y,CA,NorthAmerica,150,1936,n/a,n/a,Tier4-SmallPrivately-Owned,Construction&Maintenance,Construction,n/a,n/a,n/a,37.00,2018,http://www.fisher-mfg.com/,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,n/a,n/a,PrivCo(www.privco.com),n/a,1104
